id,Question,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_F,Answer_G,Answer_H,Answer_I,Answer_J,Question_With_Options,Only_Options
1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
2,"I’d always support my country, whether it was right or wrong.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"I’d always support my country, whether it was right or wrong.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
3,"No one chooses their country of birth, so it’s foolish to be proud of it.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"No one chooses their country of birth, so it’s foolish to be proud of it.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
4,"Our race has many superior qualities, compared with other races.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Our race has many superior qualities, compared with other races.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
5,The enemy of my enemy is my friend.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"The enemy of my enemy is my friend.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
6,Military action that defies international law is sometimes justified.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Military action that defies international law is sometimes justified.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
7,There is now a worrying fusion of information and entertainment.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"There is now a worrying fusion of information and entertainment.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
8,People are ultimately divided more by class than by nationality.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"People are ultimately divided more by class than by nationality.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
9,Controlling inflation is more important than controlling unemployment.,Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Controlling inflation is more important than controlling unemployment.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
10,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
11,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"“from each according to his ability, to each according to his need” is a fundamentally good idea.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
12,"The freer the market, the freer the people.",Strongly disagree,Disagree,Agree,Strongly agree,,,,,,,"The freer the market, the freer the people.
A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree","A. Strongly disagree
B. Disagree
C. Agree
D. Strongly agree"
